Title,Price,Description,Condition,Type,Material,URL
"Carpet ,Luxury Carpets ,Turkish Rugs , Living Room ,Carpet Tiles",200,"Description High-Quality Carpet for Sale
Bring comfort and style to your home or office with this premium quality carpet. Soft texture, elegant design, and long-lasting material make it perfect for any space. 

 Available in different sizes & colors
 Easy to clean & maintain
 Suitable for living room, bedroom, or office
 Durable and comfortable underfoot",New,,,https://www.olx.com.pk/item/carpet-luxury-carpets-turkish-rugs-living-room-carpet-tiles-iid-1104990821
Window Blinds | Zebra Blinds | Office Blinds | Parday | Curtains,185,"Description Hey! Zainab interiors have a great selection of window blinds for sale. Our window blinds come in a variety of colors, patterns, and styles to match any decor. Plus, our blinds are easy to install and maintain, so you can enjoy your new window treatments without any hassle. Check out our Facebook or contact to see our selection and place your order today!

Call or WhatsApp:

#rollerblinds #zebrablinds #venetianblinds #verticalblinds #chickblinds #romanblinds#fabricvenetionblinds#

we also deal in :
window blinds
Roman blinds
roller blinds
zebra blind
wooden blinds
vertical blind
artificial grass
carpets
vinyl flooring
wooden flooring
wallpapers
curtains
Venetian blinds
chick blind
hospital curtains
false ceiling
fabric shutter blind
wall panels
carpet tiles
Eva flooring
wpc panel
wall picture
PVC sliding doors
Arabic majlis
Sports flooring
Rainbow artificial grass
Chick sliding doors
Spc flooring",New,,,https://www.olx.com.pk/item/window-blinds-zebra-blinds-office-blinds-parday-curtains-iid-1093211533
Computer Chairs | Executive Chairs | Visitor Chairs | Office Chairs,6499,"Description ---------) MB CHAIR (--------- 

We Deals in All Kinds of Office furniture including office sofa , office chair , office table etc. . . 

---Office chair---
Options:
•	Executive Office Revolving chair/visitor chair. 
•	Boss Chair. 
•	Gaming chair. 

For more Details Kindly on whatsapp or phone. . . . . . 
---------------------------------------------------",New,Others,,https://www.olx.com.pk/item/computer-chairs-executive-chairs-visitor-chairs-office-chairs-iid-1105119093
SOLAR LIGHTS,500,"Description solar lights for night
dhoop sah charge hotu hai hai or automatically onn hojati",,,,https://www.olx.com.pk/item/solar-lights-iid-1105428953
"Tarpal , tarpulin , canvas , waterproof tarpal , waterproof plastic ,",800,"Description For the purpose of controlling heat and rain 
Its also available in lose (roll) 6 feet height
And readymade size 

Waterproof plastic terpal 
All size avalibe 
home delevry available

size
9*12
12*12
12*15
12*18
15*18
18*24 

For order
Call 
Whatsapp

For visit
Back side of UK squre waterpump market 
Near mairaj sweet 
In front of masjid e aisha 
U. K plastics L7c
And order size

Home delivery available",New,,,https://www.olx.com.pk/item/tarpal-tarpulin-canvas-waterproof-tarpal-waterproof-plastic-iid-1070165687
king size bed for sale,42000,Description purchased above 1 lac made with best quality wood. selling due to occupying large space,Used,King Bed,Wooden,https://www.olx.com.pk/item/king-size-bed-for-sale-iid-1103681919
sofa 5 seater,30000,Description Sofa Set 5 seater for sale,Used,Sofa Set,,https://www.olx.com.pk/item/sofa-5-seater-iid-1104023263
wooden chair,20000,Description four wooden chairs for sale,Used,Others,,https://www.olx.com.pk/item/wooden-chair-iid-1104024360
Computer Table / Study Table (Grey/ Black Color),22000,"Description Hey I am selling my Brand new Computer Table - (Black/Grey Color Scheme)

Here are the measurements of the table:
48 inches Length
26 inches Width
30 inches Height

Note:

Only Serious buyers should contact !!

I had ordered this table for myself, but it turned out to be slightly larger than I needed, so I've decided to sell it in same price. 
So it's in Brand new Condition, I didn't even used it!",New,Others,,https://www.olx.com.pk/item/computer-table-study-table-grey-black-color-iid-1105428972
Office Table Study Table Working Desk Computer Gaming Table,15500,Description Zero Tripple 3 Fife 6 Fife 9 Zero 2 Nine,New,Others,,https://www.olx.com.pk/item/office-table-study-table-working-desk-computer-gaming-table-iid-1105428990
landscape handmade acrylic painting,4000,"Description length: 18×12cm 
medium: acrylic on canvas",New,Landscapes,,https://www.olx.com.pk/item/landscape-handmade-acrylic-painting-iid-1105429005
Center Table,35000,Description Excellent quality center Table 6 months used only,,,,https://www.olx.com.pk/item/center-table-iid-1105429025
iron almari/wardrobe,20000,"Description almari for sale 
good condition",Used,Kids Wardrobes,,https://www.olx.com.pk/item/iron-almariwardrobe-iid-1105429033
double bed with sidetables for sale,45000,"Description just few months used double bed with side tables for sale
condition10/10
location : wapda tow",Used,Bed Set,Wooden,https://www.olx.com.pk/item/double-bed-with-sidetables-for-sale-iid-1105429034
Curtains for sale,1800,"Description One pair. Height app. 7 ft, length - 6ft. Two very small holes which can be fixed.",Used,,,https://www.olx.com.pk/item/curtains-for-sale-iid-1105429044
sofa set complete full size 5 seater03456631280,20000,Description total 3 items sofa set 3 seater and single seater 2piece urgently sale karna hai,Used,Sofa Set,,https://www.olx.com.pk/item/sofa-set-complete-full-size-5-seater03456631280-iid-1080974294
Sale sale sale big time sale,110,Description Lshape sofas available for sale made from keekar wood frame condition 10/10 for more queries contact on whatsapp big time sale sale sale,Used,L Shaped,,https://www.olx.com.pk/item/sale-sale-sale-big-time-sale-iid-1088460543
Waterfall - Fountain - Bubble Wal  - Misting - Sprinklr (0333-5556007),999,"Description Aquafy is Pakistan’s premier provider of custom water features, combining art, innovation, and engineering to transform outdoor and interior environments. With a passion for serenity and aesthetics, we craft bespoke waterfalls, fountains, aqua decor, and sculptural masterpieces that breathe life into any space. 

""We are Specialist in""
1.   Wall Mounted Waterfall
2.   Modern Spillway Waterfall
3.   Glass Waterfall
4.   Artistic Rock Art Waterfall
5.   Nature inspired Waterfall
6.   Sculpture Integrated Water Features
7.   Marble Fountains
8.   Concrete Fountains
9.   Fiberglass Fountains
10. Interactive and Programmable Fountain
11. Backyard Pond & Stream
12. Garden Fountains
13. Fish Aquarium
14. Water Bubble Wall
15. Portable Mini Waterfall & Fountain
16. Swimming Pool Addon Water Features
17. Irrigation Sprinklers System
18. Misting Fogger Cooling System
19. Swimming Pool Design & Construction

""Our Unique Services for you:""
1. Consultation
2. Design (2D-3D)
3. Turn Key Construction
4. Manufacturing
5. Art & Crafting
6. Installation
7. Material Supply
8. Build Portable Products
9. Kits & Packeges",New,,,https://www.olx.com.pk/item/waterfall-fountain-bubble-wal-misting-sprinklr-0333-5556007-iid-1102168152
Gypsum Celling - Office Celling - False Ceiling - Pop Celling /Celling,230,"Description False Ceiling / Plastic Paris Ceiling /pop Ceiling / All Ceiling work
All Type Of Ceiling
Gola Border
Spanish Work
Celling Work
drywall
gypsum board partition
office partition
Pop Celing
Plastic Of Paris
Conatact All Over Lahore
Call / Whatsapp : 0 3 0 0 / 1 1 2 7 / 8 6 0",New,,,https://www.olx.com.pk/item/gypsum-celling-office-celling-false-ceiling-pop-celling-celling-iid-1104266708
Vinyle flooring sheet,65,Description Deals in all kinds of flooring sheet for wholesale prices  (View phone number),New,,,https://www.olx.com.pk/item/vinyle-flooring-sheet-iid-1104159544
handmade painting for  home decor,18000,"Description إِلَٰهَ إِلَّا أَنتَ سُبْحَانَكَ إِنِّي كُنتُ مِنَ الظَّالِمِينَ""
(Surah Al-Anbiya, Ayat 87)

Original art work

This art piece depicts the prayer of Hazrat Yunusلَا (AS) as a solemn confession to God. Man follows his own path and seeks the mercy of Allah. The combination of white calligraphy and clay tones deepens the spiritual tone of the prayer. In every pleasure there is a ravani and jazba which keeps alive the hope of mercy and salvation from Allah. 

This verse reminds us that turning to Allah and asking Him for help in every difficulty is the real salvation",New,Calligraphy,,https://www.olx.com.pk/item/handmade-painting-for-home-decor-iid-1105247040
Sofa cum bed/Double cumbed/LShape/Combed/Double bed/Set/Foam Mattress,41990,"Description * All sofa cumbeds different prices. . . 

* After discount prices 41990 to 65000. . . 

* 15 years warranty with pure solid wooden structure. . . 

* Master Molty foam (Original with warranty card). . . 

* Orignal product Manufacture. . 

* All sofa Cum bed available in (stock ready). . . 

* Available in all colours to match any decor. . 

* Customize dimensions, Design , or Fabric upon request. . . 

* Best quality and finishing. . 

* We never compromise in quality. . . 

* for more details and information please contact us  0304/83/75/75/7

Jazakallah",New,,,https://www.olx.com.pk/item/sofa-cum-beddouble-cumbedlshapecombeddouble-bedsetfoam-mattress-iid-1105428854
Office Table Study Table Working Desk Computer Gaming Table,7000,Description Zero Tripple 3 Fife 6 Fife 9 Zero 2 Nine,New,Others,,https://www.olx.com.pk/item/office-table-study-table-working-desk-computer-gaming-table-iid-1105428857
Gandum Parola,15000,Description 8 man gandum parola home used not any broken,Used,Others,,https://www.olx.com.pk/item/gandum-parola-iid-1105428866
pallets 4ft/2.5ft china made in good quality,1500,Description 1000kg + weight utha sakti hai  china import hai,New,,,https://www.olx.com.pk/item/pallets-4ft25ft-china-made-in-good-quality-iid-1105428876
"Bed,Bed, Dressing Table & Almari are sell for reasonable price.",15000,Description Sale krna ki wja new khareedna hai. Only serious buyer contact me  (Chat with seller),Used,Bed Set,Wooden,https://www.olx.com.pk/item/bedbed-dressing-table-almari-are-sell-for-reasonable-price-iid-1105428896
counter and cupboard,12000,"Description 8x4 counter
8x4 cupboard with glass shelves
almost new
selling because of shifting
seriouse byer call plz",Used,,,https://www.olx.com.pk/item/counter-and-cupboard-iid-1105428904
baby cot,18000,Description its an elegant baby cot.,Used,Kids Beds,Wooden,https://www.olx.com.pk/item/baby-cot-iid-1105428907
"High Quality Steel Rack - Best for Warehouse, Office, Storage. Racks -",14999,"Description High Quality Racks - 
Material - Steel 
Quantity - 5
Size - 1.5 Ft x 4 ft ( 7 feet height)
Size - 2Ft x 4 Ft (8 feet height)
Condition - Used 
Location- Karachi Shadman Town",Used,,,https://www.olx.com.pk/item/high-quality-steel-rack-best-for-warehouse-office-storage-racks-iid-1105428911
Velvet sofa,35000,Description Velvet sofas in 8/10 condition. It is 7 seater. You can contact on whatsapp for further assistance,Used,Sofa Set,,https://www.olx.com.pk/item/velvet-sofa-iid-1105428930
3 sofa and table,12000,Description 3 sofa set and 1 table,Used,Others,,https://www.olx.com.pk/item/3-sofa-and-table-iid-1105428936
Wooden Dining Table + Chairs Set,30000,Description Occasionally Used Wooden Dining Table + 6 Chairs Set. Chairs are made of Tali wood and have Jute poshish. A durable product for home use. Condition is 9/10. No need for frwsh polish. Just buy and use.,,,,https://www.olx.com.pk/item/wooden-dining-table-chairs-set-iid-1105428952
Office Workstations for sell,15000,"Description I’m closing my office due to some reason. I have only 2 workstations left. Each workstation is 4 seater. 
Top white color and base is of iron. Picture is attached. 

Solid tables made of high quality material. 

2 revolving chairs are also available. I have attached pictures of chair as well. Noth chair price 15000. 

Note: My olx number is only available on whatsapp. 
Other number for direct call i can share in olx chat.",Used,Workstations,,https://www.olx.com.pk/item/office-workstations-for-sell-iid-1104930567
Bamboo Work - Custom Design & Installation,180,"Description Bamboo Work - Custom Design & Installation

PKR 180.00 starting price 

Bamboo Work - Freelancing Based Service - All Over Karachi

Waterproof aur Strong Bamboo Work mile market se kam rate mein - Fast Delivery & Professional Finish ke saath. 

Car Shades

Boundary Walls / Jaafri

Partitions & Animal Shades

Gazebo, Sitting Areas

Bamboo Roofs / Ceilings

Bamboo Walls & Custom

100+ Customization Options Free Site Visit Available

Designs

High Quality Material - Long Lasting - Elegant Finishing Har Design Customized According to Your Space & Need

Contact:  (View phone number) 

Jaldi kaam - Munasib Rate - Quality ka Waada",New,,,https://www.olx.com.pk/item/bamboo-work-custom-design-installation-iid-1105159073
Plastic Paris Ceiling/ False Ceiling /pop Ceiling / All Ceiling work,100,"Description Assalam o Alaikum 

>>>>>Welcome To Ghazi interior & construction<<<<<<<<<<<<

Transform your space with our exquisite ceiling designs! Whether you're , our range of ceiling options will add a touch of elegance and sophistication to any room. 

Gypsum Panel Ceiling New or Fancy Designs Available

Pop Ceiling Designing Solutions Are Available. 

Wooden Panel Ceilings

Metal Ceiling Tiles

LED Integrated Ceilings

We Can Make Any Design for you.  


For more details WhatsApp/Call Us At 
 (View phone number)",New,,,https://www.olx.com.pk/item/plastic-paris-ceiling-false-ceiling-pop-ceiling-all-ceiling-work-iid-1100000179
WORLD OF ANTQ SAMANWAR(15)INCH OTHER HOME DECOR IMPORTED DIFER PRICE,55000,Description WORLD OF PRESENTS SAMANWAR HAND MADE ALONG WITH OTHER HOME USED ANTIQUE ITEMS IN VARIABLE PRICES AND SIZES BEST FR DECOOR IMPORTED IN GOOD CODATION,Used,Others,,https://www.olx.com.pk/item/world-of-antq-samanwar15inch-other-home-decor-imported-difer-price-iid-1097673419
sofas,30000,Description selling sofas complete set with 1 seater 2 seater and 3 seater in brown colour condition slightly rough due we put them in store room price negotiable on WhatsApp only no call no sms,Used,Sofa Set,,https://www.olx.com.pk/item/sofas-iid-1104010644
king size velvet bed  with side tables,40000,Description king size black velvet bed with side tables perfect condition,Used,Bed Set,Wooden,https://www.olx.com.pk/item/king-size-velvet-bed-with-side-tables-iid-1104057572
showcase,15000,Description wooden showcase for sale having good condition,Used,Showcases,,https://www.olx.com.pk/item/showcase-iid-1104078125
"Decoration China Ligth, Jaal & Male Female LIghts",1200,"Description Jaal
10*10
10*20
20*20

China Light
22 fit
30 fit
300 fit

China Light Male Female
22 fit
30 fit
300 fit

0306~1282526",New,,,https://www.olx.com.pk/item/decoration-china-ligth-jaal-male-female-lights-iid-1104216765
three seater sofa,12000,"Description needs new poshish 

new foam needed",Used,3 Seater,,https://www.olx.com.pk/item/three-seater-sofa-iid-1105428753
Urgent sale,30000,Description Low cost bed with dresser,Used,Bed Set,Iron,https://www.olx.com.pk/item/urgent-sale-iid-1105428758
parola,22000,Description 25 mun kanak parti ha ha size 7.5 with stand  10by10 condition parola ka weight 68,Used,Others,,https://www.olx.com.pk/item/parola-iid-1105428779
Office Table Study Table Working Desk Computer Gaming Table,9500,Description Zero Tripple 3 Fife 6 Fife 9 Zero 2 Nine,New,Others,,https://www.olx.com.pk/item/office-table-study-table-working-desk-computer-gaming-table-iid-1105428788
Baby coat jhola neat and clean condition only 1 month use,12000,Description baby coat New condition only 1 month use,Used,Others,,https://www.olx.com.pk/item/baby-coat-jhola-neat-and-clean-condition-only-1-month-use-iid-1105428792
shisham bed set,2,"Description all the items are made up of shisham and are 3 years  used but are just like new and 9/10 condition. shisham bed, side tables, and dressing table",Used,Bed Set,Wooden,https://www.olx.com.pk/item/shisham-bed-set-iid-1105428794
sofa set silver color with sofa covers,15000,"Description location ghalla mandi jhang sadar 
  (View phone number)",Used,Sofa Set,,https://www.olx.com.pk/item/sofa-set-silver-color-with-sofa-covers-iid-1105428800
Leather sofa set,40000,Description Leather sofa set good condition achy material sy bany han molty foam use hua plz only serious buyer contect me,Used,Sofa Set,,https://www.olx.com.pk/item/leather-sofa-set-iid-1105428819
Dining Table,30000,"Description Dining Table
Location : Bank stop Ferozpur road Lahore
Contact :  (View phone number) 
Price : 30000",,,,https://www.olx.com.pk/item/dining-table-iid-1105428838
Carpet (City Carpet),40,"Description Deals in all kinds of carpet for best price 
Note. 
Door to door delivery facilities are available cash on delivery",New,,,https://www.olx.com.pk/item/carpet-city-carpet-iid-1101356445
bed /double bed/king size bed set/bedroom furniture/bridal set/woo,29999,"Description We are manufacturing all types of Furniture on Factory Price. 

With Good Polish and Original Wood
Bed 33k
side table 12k

Also we repaint and polish your old furniture

Solid and beautiful bedroom set available in reasonable price. 

We are manufacturing all types quality furniture. 

Best and no 1 quality material used in all products. 

Graceful and decent design. Best quality and finishing

Solid wood structure and 1st quality material used. 

No compromise in quality of products and polish
Contact for more details",New,Bed Set,Wooden,https://www.olx.com.pk/item/bed-double-bedking-size-bed-setbedroom-furniturebridal-setwoo-iid-1104389418
steel Almari,30000,Description steel almari used condition with safe,Used,Kids Wardrobes,,https://www.olx.com.pk/item/steel-almari-iid-1105428556
Dubai made display,4,"Description Made in dubai 
Best for shops and decoration with imported wood and glass combination 
We shifting canada we have to sell 
If someone really intrested dm me 
Imported display 
Price will be negiotiate",Used,,,https://www.olx.com.pk/item/dubai-made-display-iid-1105428562
Rehbar water tanki,25000,"Description Orignal rehbar ki 3by5 ki 2 tanki hai 625 litre hai shayad iski capacity kaheen se leak ya tuti hoyi nahi hai . Double layer hai 
New ki price 26000 hai me apko dono tanki 25000 me dedonga leak bhi nahi hai or tutu hoyi bhi nahi hai condition apke samne hai bechna ka reason ye hai ke washroom me choti tanki lagwayi jis ke waja se ye nikalne parh gayi bas serious buyer contact karein brokers hazrat door rahe",New,Others,,https://www.olx.com.pk/item/rehbar-water-tanki-iid-1105428586
Sofa set 3-2-1 with center table urgent sale,120,Description Sofa set available for sale in excellent condition for urgent sale,Used,Sofa Set,,https://www.olx.com.pk/item/sofa-set-3-2-1-with-center-table-urgent-sale-iid-1105428569
sofa set for sale 3+2+1,38000,"Description used sofa set 

3+2+1

pure wood. 

foam is in perfect condition 

very comfortable 

needs new poshish only",Used,Sofa Set,,https://www.olx.com.pk/item/sofa-set-for-sale-321-iid-1105428587
10 by 10 conditions,120,Description brand new sofa 10 by 10 contodition,New,Sofa Set,,https://www.olx.com.pk/item/10-by-10-conditions-iid-1105428594
Office Chair for sale,14000,Description it's brand new not used ready for sale,New,Computer Chairs,,https://www.olx.com.pk/item/office-chair-for-sale-iid-1105428611
1 Almari,10000,"Description 1 Almari 
Good Condition",Used,Kids Wardrobes,,https://www.olx.com.pk/item/1-almari-iid-1105428612
swings available in best quality guaranteed,13000,"Description double stand single seater 13000
single stand single seater 12000 
double stand 2 seater 17000",New,Swing Chairs,,https://www.olx.com.pk/item/swings-available-in-best-quality-guaranteed-iid-1105428613
7 Seater Sofa,40000,Description 7 seater Sofa in Good condition,Used,Sofa Set,,https://www.olx.com.pk/item/7-seater-sofa-iid-1105428644
Wooden Crockery Cabinet/Display Showcase with Glass doors,40000,"Description Selling a solid wooden crockery cabinet / kitchen display showcase in good condition. Perfect for storing and displaying crockery, kitchen items, glassware, or decorative pieces. 

Features:

3-section glass door upper display with shelves

4 spacious drawers in the center

2 side cupboards for extra storage

Durable wood with a classic mustard yellow and brown trim

Ideal for dining room, kitchen, or living room use.",Used,Showcases,,https://www.olx.com.pk/item/wooden-crockery-cabinetdisplay-showcase-with-glass-doors-iid-1103015936
3 seater sofa set,3,Description Brand new sofa set. With chandi work paint (silver foil work)with three tables. pure chiniot wood. original price 7 lac.,New,3 Seater,,https://www.olx.com.pk/item/3-seater-sofa-set-iid-1104165655
dabal bed,65000,Description need and clean bed very beautiful disin,Used,King Bed,Wooden,https://www.olx.com.pk/item/dabal-bed-iid-1105428652
Dewaan,20000,Description Home use not broken any side,Used,Others,,https://www.olx.com.pk/item/dewaan-iid-1105428738
Two Seater Sofa,40000,"Description new condition hai . velvet stuff hai. plz serious buyers contact kijiyega 
contact no:0334/366/22/82",New,2 Seater,,https://www.olx.com.pk/item/two-seater-sofa-iid-1105428739
Gaming Chair - Gaming Chair For Sale - Imported Gaming Chairs Sale,31999,"Description WildStone Presents Gaming Chair. 

All New Design Available for More Information & Design
Contact Now. : 0 3 1 0 / 4 7 6 5 / 6 2 4 . 

--------------------------------------------------------------

We provide all Types of Gaming chairs . 
We Design your dream into reality with minimum rates & Superior Quality Material with your Satisfaction. 
Your Satisfaction is Our Achievement

--------------------------------------------------------------

Imported Gaming Chairs

--------------------------------------------------------------

All New Design Available for More Information & Design
www. wildstone. pk
Contact Now. : 0 3 1 0 / 4 7 6 5 / 6 2 4 .",New,Computer Chairs,,https://www.olx.com.pk/item/gaming-chair-gaming-chair-for-sale-imported-gaming-chairs-sale-iid-1104014122
Bed set for sale,75000,Description Shesham wood bed for sale,Used,Bed Set,Wooden,https://www.olx.com.pk/item/bed-set-for-sale-iid-1105428470
Office table chair CEO Executive Mesh Desk Staff Visitor Sofa Manager,23500,Description Zero Tripple 3 Fife 6 Fife 9 Zero 2 Nine,New,Others,,https://www.olx.com.pk/item/office-table-chair-ceo-executive-mesh-desk-staff-visitor-sofa-manager-iid-1105428483
2 set bedroom neat and clean set,22000,Description new bedrooms only 2 month use,Used,,,https://www.olx.com.pk/item/2-set-bedroom-neat-and-clean-set-iid-1105428494
office table and chairs is for sale,45000,"Description large size office table with office chairs is for sale, only few months used",New,Computer Chairs,,https://www.olx.com.pk/item/office-table-and-chairs-is-for-sale-iid-1105428521
Bunk bed,38000,Description bunk bed with side corner and big storage. . big drawers. . urgent sell,Used,Kids Beds,Others,https://www.olx.com.pk/item/bunk-bed-iid-1105428537
"Executive chair, Cupboard, Deep Freezer And Office Table For sale",110,"Description **Executive Chair**
10/10 condition
Imported And recliner
Price: 40 000
**Cupboard**
6/10 Condition
Chinese Wood
Price: 5000
**Deep Freezer**
Waves Triplet WT-2160 Deep Freezer
9/10 Condition
Price: 60 000
**Office Table**
5/10 Condition
Price: 5000

1 lac 10 thousand for all. Also available if you want any 1 of them. Msg for more pictures.",Used,,,https://www.olx.com.pk/item/executive-chair-cupboard-deep-freezer-and-office-table-for-sale-iid-1105428547
Executive office table Meeting Conference workstation Desk Chair,25000,Description Zero Tripple 3 Fife 6 Fife 9 Zero 2 Nine,New,Others,,https://www.olx.com.pk/item/executive-office-table-meeting-conference-workstation-desk-chair-iid-1105428552
Clock Tower hand Painting wall art for Sale in cheap price,1999,"Description Clock Tower hand Painting wall art for Sale in cheap price

Item details

This is a genuine Painting by Marcia Paterson. Handmade in Norwich Norflock. 

Material

Surface: Canvas board

Dimensions

Height: 16 Inches; Width: 12 Inches

Description

The Clock Tower in Jaffa was built by Moritz Scheinberg in 1903. 

In honor of the 25th anniversary of the tenure of Ottoman Sultan Abdul Hamid II. 

The tower is built of limestone. At the top of the tower is a copper cover, with two clocks and a bell ringing once every half hour. 

The square in which it is located was named after the tower - Clock Square. Further to Yefet Street to the south. 
Height up to the tip of the antenna: 27.8 meters; The length and width of the tower base: 3.8 meters each

Painting Dimensions: 16 inch' X 12 inch'

Feel free to ask any questions or for more photos if you require them. Local buyers are welcome to collect the item from karachi, to save on the delivery cost. 


Marking: Signed “Marcia Paterson” on painting. Authenticated on reverse. See photos

Condition: New

Condition: 10/10. 

Package Includes:
1 Oil Paint Canvas

GOOD CONDITION - SEE PHOTOS

Perfect for any space: Living room, family room, bedroom, office, dining room, game room. 

Feel free to ask any questions or for more photos if you require them. 

Please visit my olx profile for unique & vintage items.",Used,,,https://www.olx.com.pk/item/clock-tower-hand-painting-wall-art-for-sale-in-cheap-price-iid-1034133909
ANTIQUE WORLD PRESENTS 24 CARROT GOLD HANDMADE PECOCK BRAND A ONE COND,35000,Description ANTIQUE WORLD PRESENTS 24 CARROTY GOLD PECOCK BRAND 15 INCH IN AONE CONDATION IMPORTED BEST FRHOME DECOR ALONG WITH OTHER VASES IN VARIABLE SIZE AND PRICES IMPORTED,Used,,,https://www.olx.com.pk/item/antique-world-presents-24-carrot-gold-handmade-pecock-brand-a-one-cond-iid-1088788734
Kitchen movable cabinet,6000,Description A cabinet in good condition with a neat top. It is covered with plastic cover right now. Very useful in kitchen or as an iron stand. Price is negotiable,Used,Others,,https://www.olx.com.pk/item/kitchen-movable-cabinet-iid-1096898641
Square Center Table,22000,Description Drawing / Common Room table in good condition is available for sale.,,,,https://www.olx.com.pk/item/square-center-table-iid-1103229166
Brand new bed setting .,350,Description This bed is from rennisance brand DHA lahore. with dressing table and sofa. pure silver foil paint on dressing and sofa. with side tables,New,King Bed,Wooden,https://www.olx.com.pk/item/brand-new-bed-setting-iid-1104165681
wallpapers sale sale sale,3500,"Description All types of wallpapers, Media Walls, wooden floor, window blind's, 3D wallpaper etc reasonable price",New,,,https://www.olx.com.pk/item/wallpapers-sale-sale-sale-iid-1104197440
Big suitcases in good condition,10000,Description Big traveling suitcases for sale. Each in 10000,Used,Others,,https://www.olx.com.pk/item/big-suitcases-in-good-condition-iid-1105130941
queen size bed set /chinyoti bed set /bed with dressing side table,150,"Description * poshish queen size bed set 
* Condition 10/10. 
* Best Quality Of Furniture. 
* Graceful & Decent Design
* Attractive and Stylish. 
Luxury royal look bed set with side table or dressing just like new,wooden top with high quality glossy paint. 

for more details contact us   : 0321//5888//870",New,Bed Set,Wooden,https://www.olx.com.pk/item/queen-size-bed-set-chinyoti-bed-set-bed-with-dressing-side-table-iid-1105378904
"STUDY CHAIR, STUDENT CHAIR, TABLET CHAIR, CLASSROOM CHAIR EXAIM CHAIR",2255,"Description Please Whatsapp At Compnay Number 0,3,3,0,6,1,2,1,0,0,0 
Welcome to Citi International Furniture Industries Head Office Gujranwala. 
We Are Manufacturing All Kind Of Montessori Furniture, School Furniture, College Furniture and University Furniture. 
Please Download Price List: https://citifurniture. pk/Price. html
Please Visit Our Website: http://citifurniture. pk/
Please Visit Our Facebook: https://www. facebook. com/citifurniture. pk
Google Maps Location: https://g. page/cifig
Regard:
Mobile: 0,3,2,9,6,1,2,1,0,0,0,
Mobile 0,3,3,0,6,1,2,1,0,0,0,",New,,,https://www.olx.com.pk/item/study-chair-student-chair-tablet-chair-classroom-chair-exaim-chair-iid-1105225481
Solid Wood bed with dressing,20000,"Description Solid wood bed with matching dressing table, classic design and long-lasting quality. Well-kept and in great shape, this elegant set brings timeless style and durability to any bedroom",Used,Queen Bed,Wooden,https://www.olx.com.pk/item/solid-wood-bed-with-dressing-iid-1105428352
Counter,6000,"Description assalamualaikum 
all okay",Used,Others,,https://www.olx.com.pk/item/counter-iid-1105428361
Sofas,96000,"Description Condition totally new, just we are changing home that's why we are selling it.",New,Sofa Set,,https://www.olx.com.pk/item/sofas-iid-1105428380
Showcase For Sale,15000,"Description Used showcase slightly used up for urgent sale. Price negotiable. 
Kindly call on  (View phone number)  and  (View phone number)",Used,Kids Wardrobes,,https://www.olx.com.pk/item/showcase-for-sale-iid-1105428381
office table and chairs for sale,45000,"Description large size office table and chair is for sale, new in condition, few months used",New,Others,,https://www.olx.com.pk/item/office-table-and-chairs-for-sale-iid-1105428388
double bed,45000,Description I'm selling double bed,Used,King Bed,Wooden,https://www.olx.com.pk/item/double-bed-iid-1105428395
Dining chair set of 2 for sell,7000,Description I am selling these 2 dining chairs,New,Dining Chairs,,https://www.olx.com.pk/item/dining-chair-set-of-2-for-sell-iid-1105428401
trunk of 22 gage size 6/3,21000,Description trunk brand new not even use once size6/3   heavy weight in good condition brand new,New,Storage & Organizers,,https://www.olx.com.pk/item/trunk-of-22-gage-size-63-iid-1105428409
curtains for room and lounge,2500,"Description Length 9ft 
width 4.25 ft
available in different colors",New,,,https://www.olx.com.pk/item/curtains-for-room-and-lounge-iid-1105428411
for sale,9000,Description almari for sell urgent,Used,Kids Wardrobes,,https://www.olx.com.pk/item/for-sale-iid-1105428434
Bed dressing and side table for sale,65000,Description for sale all ok without matress,Used,Others,,https://www.olx.com.pk/item/bed-dressing-and-side-table-for-sale-iid-1105428453
Console Table | Tv Console | Table | Tv Table | Led Console,15000,"Description Wooden TV Stand/Media Console for Sale

- *Condition:* Like new (just 6 months used]
- *Material:* High-quality wood with a dark brown finish
- *Features:*
    - Open shelf on top divided into two compartments for TV or media devices
    - Three drawers with sleek silver handles for storage of media accessories
    - Elevated on five short legs with metallic silver caps for a stylish look
- *Perfect for:* Living rooms, bedrooms, or entertainment areas in homes in Pakistan

Why Buy This TV Stand?
- Elegant dark brown wood finish suits modern home decor
- Ample storage for media devices and accessories
- Stylish design with metallic accents

Contact:
Call | Whatsapp: 0/3/3/6/1/0/8/4/0/6/6",,,,https://www.olx.com.pk/item/console-table-tv-console-table-tv-table-led-console-iid-1105428459
